key = 33255_28, value = 4
key = 33255_38, value = 2
key = 33255_34, value = 2
key = 33255_48, value = 4
key = 33255_76, value = 0
key = 33255_83, value = 0
key = 33255_84, value = 8
key = 33255_86, value = 8
key = 33255_89, value = 8
key = 33255_109, value = 4
key = 33255_116, value = 0
key = 33255_128, value = 0
key = 33255_143, value = 0
key = 33255_151, value = 0
key = 33255_157, value = 2
key = 33255_164, value = 2
key = 33255_171, value = 0
key = 33256_26, value = 2
key = 33256_44, value = 5
key = 33256_54, value = 4
key = 33256_61, value = 8
key = 33256_62, value = 4
key = 33256_75, value = 0
